Retailer,Name,Total Price,Rank
BestBuy,Payday 2: Crimewave Edition - Xbox One,19.99,
BestBuy,Wolfenstein: The New Order - Xbox One,19.99,
BestBuy,Just Cause 3 - Xbox One,29.99,
BestBuy,Tom Clancy's The Division - Xbox One,23.99,
BestBuy,Watch Dogs Limited Edition - Xbox One,129.99,
BestBuy,Kingdom Hearts III - Xbox One,59.99,
BestBuy,Final Fantasy XV - Xbox One,29.99,
BestBuy,The Elder Scrolls Online: Tamriel Unlimited - Xbox One,19.99,
BestBuy,LEGO Marvel Super Heroes - Xbox One,19.99,
Amazon,Payday 2: Crimewave Edition - Xbox One,19.48,"17,285"
